#Top: cms_pix_28_fw_top_bd_wrapper   Floorplan: impl_1   Part: xczu9eg-ffvb1156-2-e
#Generated by: gingu   on: Wed Nov  6 13:44:42 2024
#Build: Vivado v2022.1   by: xbuild   on: Mon Apr 18 15:47:01 MDT 2022
#Package Version: PRODUCTION 1.1 3/3/2017
#Package Pin Delay Version: PRODUCTION 1.0 7/24/2015

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
44,AJ14,IOB_X0Y29,IO_L8N_HDGC_AD4N_44,75.382,76.140,,,,,,,,,,,,,,,,,,,,
44,AJ15,IOB_X0Y28,IO_L8P_HDGC_AD4P_44,75.112,75.867,,,,,,,,,,,,,,,,,,,,
44,AF13,IOB_X0Y31,IO_L9N_AD3N_44,80.582,81.392,,,,,,,,,,,,,,,,,,,,
44,AE13,IOB_X0Y30,IO_L9P_AD3P_44,83.308,84.145,,,,,,,,,,,,,,,,,,,,
44,AG13,IOB_X0Y33,IO_L10N_AD2N_44,79.817,80.619,,,,,,,,,,,,,,,,,,,,
44,AG14,IOB_X0Y32,IO_L10P_AD2P_44,79.482,80.281,,,,,,,,,,,,,,,,,,,,
44,AG15,IOB_X0Y35,IO_L11N_AD1N_44,68.603,69.292,,,,,,,,,,,,,,,,,,,,
44,AF15,IOB_X0Y34,IO_L11P_AD1P_44,59.356,59.953,,,,,,,,,,,,,,,,,,,,
44,AE14,IOB_X0Y37,IO_L12N_AD0N_44,75.703,76.464,,,,,,,,,,,,,,,,,,,,
44,AE15,IOB_X0Y36,IO_L12P_AD0P_44,73.445,74.183,,,,,,,,,,,,,,,,,,,,
44,AF14,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,,
44,AJ13,,VCCO_44,,,,,,,,,,,,,,,,,,,,VCCO_44,,
47,K20,IOB_X0Y157,IO_L1N_AD11N_47,127.972,129.258,,,,,,,,,,,,,,,,,,,,
47,L20,IOB_X0Y156,IO_L1P_AD11P_47,128.877,130.172,,,,,,,,,,,,,,,,,,,,
47,K19,IOB_X0Y159,IO_L2N_AD10N_47,124.346,125.595,,,,,,,,,,,,,,,,,,,,
47,L19,IOB_X0Y158,IO_L2P_AD10P_47,137.953,139.339,,,,,,,,,,,,,,,,,,,,
47,H21,IOB_X0Y161,IO_L3N_AD9N_47,132.264,133.594,,,,,,,,,,,,,,,,,,,,
47,J21,IOB_X0Y160,IO_L3P_AD9P_47,136.047,137.414,,,,,,,,,,,,,,,,,,,,
47,J20,IOB_X0Y163,IO_L4N_AD8N_47,121.980,123.206,,,,,,,,,,,,,,,,,,,,
47,J19,IOB_X0Y162,IO_L4P_AD8P_47,121.331,122.550,,,,,,,,,,,,,,,,,,,,
47,F21,IOB_X0Y165,IO_L5N_HDGC_AD7N_47,149.155,150.654,,,,,,,,,,,,,,,,,,,,
47,G21,IOB_X0Y164,IO_L5P_HDGC_AD7P_47,148.482,149.975,,,,,,,,,,,,,,,,,,,,
47,F20,IOB_X0Y167,IO_L6N_HDGC_AD6N_47,133.682,135.026,,,,,,,,,,,,,,,,,,,,
47,G20,IOB_X0Y166,IO_L6P_HDGC_AD6P_47,132.790,134.124,,,,,,,,,,,,,,,,,,,,
47,D22,IOB_X0Y183,IO_L7N_HDGC_AD5N_47,155.915,157.482,,,,,,,,,,,,,,,,,,,,
47,E22,IOB_X0Y182,IO_L7P_HDGC_AD5P_47,156.102,157.671,,,,,,,,,,,,,,,,,,,,
47,D20,IOB_X0Y185,IO_L8N_HDGC_AD4N_47,146.093,147.562,,,,,,,,,,,,,,,,,,,,
47,E20,IOB_X0Y184,IO_L8P_HDGC_AD4P_47,145.471,146.933,,,,,,,,,,,,,,,,,,,,
47,C22,IOB_X0Y187,IO_L9N_AD3N_47,160.181,161.791,,,,,,,,,,,,,,,,,,,,
47,D21,IOB_X0Y186,IO_L9P_AD3P_47,154.745,156.300,,,,,,,,,,,,,,,,,,,,
47,B21,IOB_X0Y189,IO_L10N_AD2N_47,163.890,165.538,,,,,,,,,,,,,,,,,,,,
47,C21,IOB_X0Y188,IO_L10P_AD2P_47,162.981,164.619,,,,,,,,,,,,,,,,,,,,
47,A22,IOB_X0Y191,IO_L11N_AD1N_47,173.555,175.300,,,,,,,,,,,,,,,,,,,,
47,A21,IOB_X0Y190,IO_L11P_AD1P_47,171.582,173.307,,,,,,,,,,,,,,,,,,,,
47,A20,IOB_X0Y193,IO_L12N_AD0N_47,164.873,166.530,,,,,,,,,,,,,,,,,,,,
47,B20,IOB_X0Y192,IO_L12P_AD0P_47,160.364,161.976,,,,,,,,,,,,,,,,,,,,
47,E21,,VCCO_47,,,,,,,,,,,,,,,,,,,,VCCO_47,,
47,H20,,VCCO_47,,,,,,,,,,,,,,,,,,,,VCCO_47,,
48,H19,IOB_X0Y209,IO_L1N_AD15N_48,111.519,112.640,,,,,,,,,,,,,,,,,,,,
48,H18,IOB_X0Y208,IO_L1P_AD15P_48,110.287,111.395,,,,,,,,,,,,,,,,,,,,
48,H17,IOB_X0Y211,IO_L2N_AD14N_48,100.303,101.311,,,,,,,,,,,,,,,,,,,,
48,J17,IOB_X0Y210,IO_L2P_AD14P_48,101.295,102.313,,,,,,,,,,,,,,,,,,,,
48,K18,IOB_X0Y213,IO_L3N_AD13N_48,95.252,96.209,,,,,,,,,,,,,,,,,,,,
48,L18,IOB_X0Y212,IO_L3P_AD13P_48,101.057,102.073,,,,,,,,,,,,,,,,,,,,
48,K17,IOB_X0Y215,IO_L4N_AD12N_48,108.501,109.592,,,,,,,,,,,,,,,,,,,,
48,L17,IOB_X0Y214,IO_L4P_AD12P_48,109.201,110.298,,,,,,,,,,,,,,,,,,,,
48,G19,IOB_X0Y217,IO_L5N_HDGC_48,112.324,113.453,,,,,,,,,,,,,,,,,,,,
48,G18,IOB_X0Y216,IO_L5P_HDGC_48,112.629,113.761,,,,,,,,,,,,,,,,,,,,
48,F18,IOB_X0Y219,IO_L6N_HDGC_48,114.604,115.756,,,,,,,,,,,,,,,,,,,,
48,F17,IOB_X0Y218,IO_L6P_HDGC_48,116.001,117.167,,,,,,,,,,,,,,,,,,,,
48,D19,IOB_X0Y221,IO_L7N_HDGC_48,129.958,131.264,,,,,,,,,,,,,,,,,,,,
48,E19,IOB_X0Y220,IO_L7P_HDGC_48,129.377,130.677,,,,,,,,,,,,,,,,,,,,
48,E18,IOB_X0Y223,IO_L8N_HDGC_48,126.552,127.823,,,,,,,,,,,,,,,,,,,,
48,E17,IOB_X0Y222,IO_L8P_HDGC_48,126.977,128.253,,,,,,,,,,,,,,,,,,,,
48,C17,IOB_X0Y225,IO_L9N_AD11N_48,127.237,128.516,,,,,,,,,,,,,,,,,,,,
48,D17,IOB_X0Y224,IO_L9P_AD11P_48,126.086,127.353,,,,,,,,,,,,,,,,,,,,
48,B19,IOB_X0Y227,IO_L10N_AD10N_48,153.330,154.871,,,,,,,,,,,,,,,,,,,,
48,B18,IOB_X0Y226,IO_L10P_AD10P_48,153.687,155.231,,,,,,,,,,,,,,,,,,,,
48,C19,IOB_X0Y229,IO_L11N_AD9N_48,138.564,139.957,,,,,,,,,,,,,,,,,,,,
48,C18,IOB_X0Y228,IO_L11P_AD9P_48,133.276,134.616,,,,,,,,,,,,,,,,,,,,
48,A18,IOB_X0Y231,IO_L12N_AD8N_48,141.032,142.449,,,,,,,,,,,,,,,,,,,,
48,A17,IOB_X0Y230,IO_L12P_AD8P_48,140.429,141.841,,,,,,,,,,,,,,,,,,,,
48,G17,,VCCO_48,,,,,,,,,,,,,,,,,,,,VCCO_48,,
48,J18,,VCCO_48,,,,,,,,,,,,,,,,,,,,VCCO_48,,
49,F15,IOB_X0Y233,IO_L1N_AD15N_49,103.074,104.110,,,,,,,,,,,,,,,,,,,,
49,F16,IOB_X0Y232,IO_L1P_AD15P_49,103.402,104.441,,,,,,,,,,,,,,,,,,,,
49,C16,IOB_X0Y235,IO_L2N_AD14N_49,118.493,119.684,,,,,,,,,,,,,,,,,,,,
49,D16,IOB_X0Y234,IO_L2P_AD14P_49,113.713,114.856,,,,,,,,,,,,,,,,,,,,
49,A16,IOB_X0Y237,IO_L3N_AD13N_49,129.172,130.471,,,,,,,,,,,,,,,,,,,,
49,B16,IOB_X0Y236,IO_L3P_AD13P_49,126.584,127.856,,,,,,,,,,,,,,,,,,,,
49,A15,IOB_X0Y239,IO_L4N_AD12N_49,127.246,128.525,,,,,,,,,,,,,,,,,,,,
49,B15,IOB_X0Y238,IO_L4P_AD12P_49,126.522,127.793,,,,,,,,,,,,,,,,,,,,
49,D15,IOB_X0Y241,IO_L5N_HDGC_49,103.693,104.735,,,,,,,,,,,,,,,,,,,,
49,E15,IOB_X0Y240,IO_L5P_HDGC_49,103.298,104.336,,,,,,,,,,,,,,,,,,,,
49,D14,IOB_X0Y243,IO_L6N_HDGC_49,102.844,103.877,,,,,,,,,,,,,,,,,,,,
49,E14,IOB_X0Y242,IO_L6P_HDGC_49,101.867,102.891,,,,,,,,,,,,,,,,,,,,
49,B14,IOB_X0Y245,IO_L7N_HDGC_49,114.994,116.150,,,,,,,,,,,,,,,,,,,,
49,C14,IOB_X0Y244,IO_L7P_HDGC_49,114.762,115.916,,,,,,,,,,,,,,,,,,,,
49,B13,IOB_X0Y247,IO_L8N_HDGC_49,115.448,116.608,,,,,,,,,,,,,,,,,,,,
49,C13,IOB_X0Y246,IO_L8P_HDGC_49,114.275,115.423,,,,,,,,,,,,,,,,,,,,
49,A12,IOB_X0Y249,IO_L9N_AD11N_49,128.471,129.762,,,,,,,,,,,,,,,,,,,,
49,A13,IOB_X0Y248,IO_L9P_AD11P_49,122.658,123.891,,,,,,,,,,,,,,,,,,,,
49,B12,IOB_X0Y251,IO_L10N_AD10N_49,114.022,115.168,,,,,,,,,,,,,,,,,,,,
49,C12,IOB_X0Y250,IO_L10P_AD10P_49,112.983,114.118,,,,,,,,,,,,,,,,,,,,
49,D12,IOB_X0Y253,IO_L11N_AD9N_49,100.943,101.957,,,,,,,,,,,,,,,,,,,,
49,E12,IOB_X0Y252,IO_L11P_AD9P_49,101.708,102.730,,,,,,,,,,,,,,,,,,,,
49,E13,IOB_X0Y255,IO_L12N_AD8N_49,100.365,101.373,,,,,,,,,,,,,,,,,,,,
49,F13,IOB_X0Y254,IO_L12P_AD8P_49,100.611,101.622,,,,,,,,,,,,,,,,,,,,
49,E16,,VCCO_49,,,,,,,,,,,,,,,,,,,,VCCO_49,,
49,F14,,VCCO_49,,,,,,,,,,,,,,,,,,,,VCCO_49,,
50,J10,IOB_X0Y257,IO_L1N_AD15N_50,71.473,72.192,,,,,,,,,,,,,,,,,,,,
50,J11,IOB_X0Y256,IO_L1P_AD15P_50,72.386,73.114,,,,,,,,,,,,,,,,,,,,
50,G10,IOB_X0Y259,IO_L2N_AD14N_50,74.189,74.935,,,,,,,,,,,,,,,,,,,,
50,H10,IOB_X0Y258,IO_L2P_AD14P_50,72.950,73.683,,,,,,,,,,,,,,,,,,,,
50,E10,IOB_X0Y261,IO_L3N_AD13N_50,86.691,87.562,,,,,,,,,,,,,,,,,,,,
50,F10,IOB_X0Y260,IO_L3P_AD13P_50,86.999,87.873,,,,,,,,,,,,,,,,,,,,
50,D10,IOB_X0Y263,IO_L4N_AD12N_50,95.833,96.796,,,,,,,,,,,,,,,,,,,,
50,D11,IOB_X0Y262,IO_L4P_AD12P_50,94.953,95.907,,,,,,,,,,,,,,,,,,,,
50,G11,IOB_X0Y265,IO_L5N_HDGC_50,73.243,73.979,,,,,,,,,,,,,,,,,,,,
50,H11,IOB_X0Y264,IO_L5P_HDGC_50,72.596,73.326,,,,,,,,,,,,,,,,,,,,
50,F11,IOB_X0Y267,IO_L6N_HDGC_50,79.547,80.346,,,,,,,,,,,,,,,,,,,,
50,F12,IOB_X0Y266,IO_L6P_HDGC_50,79.439,80.237,,,,,,,,,,,,,,,,,,,,
50,H12,IOB_X0Y269,IO_L7N_HDGC_50,53.886,54.428,,,,,,,,,,,,,,,,,,,,
50,J12,IOB_X0Y268,IO_L7P_HDGC_50,52.971,53.504,,,,,,,,,,,,,,,,,,,,
50,G13,IOB_X0Y271,IO_L8N_HDGC_50,56.570,57.139,,,,,,,,,,,,,,,,,,,,
50,H13,IOB_X0Y270,IO_L8P_HDGC_50,55.540,56.099,,,,,,,,,,,,,,,,,,,,
50,G14,IOB_X0Y273,IO_L9N_AD11N_50,57.881,58.462,,,,,,,,,,,,,,,,,,,,
50,G15,IOB_X0Y272,IO_L9P_AD11P_50,60.956,61.568,,,,,,,,,,,,,,,,,,,,
50,H14,IOB_X0Y275,IO_L10N_AD10N_50,46.476,46.943,,,,,,,,,,,,,,,,,,,,
50,J14,IOB_X0Y274,IO_L10P_AD10P_50,45.987,46.449,,,,,,,,,,,,,,,,,,,,
50,G16,IOB_X0Y277,IO_L11N_AD9N_50,62.427,63.055,,,,,,,,,,,,,,,,,,,,
50,H16,IOB_X0Y276,IO_L11P_AD9P_50,60.508,61.116,,,,,,,,,,,,,,,,,,,,
50,J15,IOB_X0Y279,IO_L12N_AD8N_50,41.705,42.125,,,,,,,,,,,,,,,,,,,,
50,J16,IOB_X0Y278,IO_L12P_AD8P_50,55.243,55.798,,,,,,,,,,,,,,,,,,,,
50,G12,,VCCO_50,,,,,,,,,,,,,,,,,,,,VCCO_50,,
50,J13,,VCCO_50,,,,,,,,,,,,,,,,,,,,VCCO_50,,
64,AN11,IOB_X1Y12,IO_T0U_N12_VRP_64,115.489,116.649,,,,,,,,,,,,,,,,,,,,
64,AJ7,IOB_X1Y25,IO_T1U_N12_64,86.128,86.994,,,,,,,,,,,,,,,,,,,,
64,AM3,IOB_X1Y38,IO_T2U_N12_64,116.494,117.664,,,,,,,,,,,,,,,,,,,,
64,AP1,IOB_X1Y51,IO_T3U_N12_64,140.255,141.665,,,,,,,,,,,,,,,,,,,,
64,AK12,IOB_X1Y1,IO_L1N_T0L_N1_DBC_64,97.086,98.062,,,,,,,,,,,,,,,,,,,,
64,AJ12,IOB_X1Y0,IO_L1P_T0L_N0_DBC_64,96.355,97.323,,,,,,,,,,,,,,,,,,,,
64,AM11,IOB_X1Y3,IO_L2N_T0L_N3_64,95.775,96.737,,,,,,,,,,,,,,,,,,,,
64,AL11,IOB_X1Y2,IO_L2P_T0L_N2_64,95.684,96.646,,,,,,,,,,,,,,,,,,,,
64,AM10,IOB_X1Y5,IO_L3N_T0L_N5_AD15N_64,93.515,94.454,,,,,,,,,,,,,,,,,,,,
64,AL10,IOB_X1Y4,IO_L3P_T0L_N4_AD15P_64,92.776,93.709,,,,,,,,,,,,,,,,,,,,
64,AP10,IOB_X1Y7,IO_L4N_T0U_N7_DBC_AD7N_64,104.435,105.485,,,,,,,,,,,,,,,,,,,,
64,AP11,IOB_X1Y6,IO_L4P_T0U_N6_DBC_AD7P_64,105.764,106.827,,,,,,,,,,,,,,,,,,,,
64,AP9,IOB_X1Y9,IO_L5N_T0U_N9_AD14N_64,106.769,107.842,,,,,,,,,,,,,,,,,,,,
64,AN9,IOB_X1Y8,IO_L5P_T0U_N8_AD14P_64,100.197,101.204,,,,,,,,,,,,,,,,,,,,
64,AK10,IOB_X1Y11,IO_L6N_T0U_N11_AD6N_64,92.723,93.654,,,,,,,,,,,,,,,,,,,,
64,AJ10,IOB_X1Y10,IO_L6P_T0U_N10_AD6P_64,93.648,94.589,,,,,,,,,,,,,,,,,,,,
64,AP8,IOB_X1Y14,IO_L7N_T1L_N1_QBC_AD13N_64,110.095,111.202,,,,,,,,,,,,,,,,,,,,
64,AN8,IOB_X1Y13,IO_L7P_T1L_N0_QBC_AD13P_64,109.013,110.109,,,,,,,,,,,,,,,,,,,,
64,AM8,IOB_X1Y16,IO_L8N_T1L_N3_AD5N_64,93.962,94.907,,,,,,,,,,,,,,,,,,,,
64,AM9,IOB_X1Y15,IO_L8P_T1L_N2_AD5P_64,95.486,96.446,,,,,,,,,,,,,,,,,,,,
64,AK9,IOB_X1Y18,IO_L9N_T1L_N5_AD12N_64,90.038,90.943,,,,,,,,,,,,,,,,,,,,
64,AJ9,IOB_X1Y17,IO_L9P_T1L_N4_AD12P_64,85.640,86.500,,,,,,,,,,,,,,,,,,,,
64,AP7,IOB_X1Y20,IO_L10N_T1U_N7_QBC_AD4N_64,112.198,113.325,,,,,,,,,,,,,,,,,,,,
64,AN7,IOB_X1Y19,IO_L10P_T1U_N6_QBC_AD4P_64,111.253,112.371,,,,,,,,,,,,,,,,,,,,
64,AK7,IOB_X1Y22,IO_L11N_T1U_N9_GC_64,88.720,89.611,,,,,,,,,,,,,,,,,,,,
64,AK8,IOB_X1Y21,IO_L11P_T1U_N8_GC_64,88.964,89.858,,,,,,,,,,,,,,,,,,,,
64,AL7,IOB_X1Y24,IO_L12N_T1U_N11_GC_64,94.830,95.783,,,,,,,,,,,,,,,,,,,,
64,AL8,IOB_X1Y23,IO_L12P_T1U_N10_GC_64,94.502,95.452,,,,,,,,,,,,,,,,,,,,
